#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,AVG,TTL,STD_DEV
1,Davante Adams,WR,LV,27.6,3.6,0,0,0,6.1,31.6,23.3,23.3,10.6,16.6,12.1,24.1,17.5,4.2,32.2,10.6,17.4,243.4,10.84539671
2,Tyreek Hill,WR,MIA,10.6,16.8,16.2,12.4,15.3,2.5,11.5,21.8,24.1,0,16,44.9,8.8,23.1,11.4,6.5,0,16.1,241.9,10.43922268
3,Stefon Diggs,WR,HOU,8.6,21.3,10.9,11.5,10.6,10.6,4.8,9.2,11.8,15.3,0,3.9,9.2,19.1,14.7,32.5,7.6,12.6,201.6,7.229275354
4,Calvin Ridley,WR,TEN,24.9,22.9,11.7,0,13.6,12.9,14.9,4.2,0,0,9,11,10.8,18.4,22.3,12.3,2.6,12.8,191.5,7.775068842
5,DK Metcalf,WR,SEA,15.5,15.2,15,10.6,21.3,BYE,2.3,28.1,16.8,2.8,10.6,17.7,8,12.1,4.3,5.9,2.1,11.8,188.3,7.180852905
6,Justin Jefferson,WR,MIN,2.6,4.4,23.5,10.3,2.3,30.6,BYE,2.6,6.4,13.5,14.6,19,18.3,5.9,10.4,8.5,13.3,11.6,186.2,7.867407054
7,Adam Thielen,WR,CAR,25,3.1,9.3,18.2,20.3,11.1,0,2.7,3.8,16.3,24.3,0,13.5,3.9,7.1,15.7,5.7,12,180,7.994548315
8,Mike Evans,WR,TB,6.2,16.4,12.2,18.2,10.1,1,3.7,11.5,6.4,13.7,10.9,17,BYE,5.6,11,30.1,4.6,11.2,178.6,6.88656981
9,A.J. Brown,WR,PHI,3.9,0,0,0,14.2,17.8,21.3,8.4,16.1,2.1,12.2,21.8,6.7,17.2,10.4,4.3,21.1,12.7,177.5,7.688498578
10,DeAndre Hopkins,WR,TEN,15.1,12.8,13.7,4.1,19.1,7.3,14.3,0,3,18.7,5.1,5.5,11.2,13.6,21,4.8,3.5,10.8,172.8,6.250265046
11,Tyler Lockett,WR,SEA,9.2,12.7,28,3.9,4.4,BYE,38,3.3,4,6.6,12.7,2.3,6.3,5.2,3.4,4.4,21,10.3,165.4,9.919543525
12,Allen Robinson II,WR,NYG,7.3,3.3,18.3,16.1,9,5.3,7,14.7,8.1,4.3,BYE,19.4,7.5,18.3,8.3,10.3,3.7,10.1,160.9,5.330803029
13,Robert Woods,WR,HOU,11.9,9.3,16.4,3.8,13.1,10,2.5,21.4,0,3.6,18.6,8.8,8.5,3.1,15.6,4.9,3.6,9.7,155.1,6.091510912
14,Chase Claypool,WR,FA,4.7,14.8,2.4,0,35.6,14.1,0.2,8.2,7.3,17.3,11.9,5.2,3.8,1.5,4.8,5.4,16.1,9.6,152.9,8.565542138
15,Marvin Jones Jr.,WR,FA,5.5,8.3,5.1,0.9,0,0.8,8,15.9,10.3,15.6,5.1,4.8,17.6,4.8,17.2,1.9,30,9.5,151.8,7.740935094
16,Brandin Cooks,WR,DAL,2,9.5,2.3,0,22.1,12.8,6,0,14.3,3.9,8.5,8.5,6.5,0,5.9,20.1,28.6,10.1,151,8.079693886
17,DJ Moore,WR,CHI,5.4,12,6.5,4.9,15.3,9.3,21.3,5.5,1.8,15.6,14.8,6.1,0,0,13.2,3.7,10.1,9.7,145.5,5.898260843
18,Keenan Allen,WR,CHI,3.7,9.6,17.2,6.2,8.9,0,12.5,12.7,16.3,9.9,18.5,12,4.8,11.2,1.6,0,0,10.4,145.1,5.937908245
19,Amari Cooper,WR,CLE,8.1,10,8.6,21.4,2.1,13.9,8.5,0.5,7.5,0,8.1,17.2,11.3,11.1,0.3,12.1,4.1,9.1,144.8,5.77114886
20,CeeDee Lamb,WR,DAL,5.9,11.5,6.6,20.2,12.4,6.4,0.1,4.6,11.1,BYE,12.6,2.1,4.6,6.1,14.5,20.4,4.6,9,143.7,5.789345683
21,Nelson Agholor,WR,BAL,8.3,1.9,3.2,10.4,12.7,0,16.7,0,11.5,0.8,14.8,5.4,3.8,16,4.9,21.5,5.7,8.6,137.6,6.359843745
22,JuJu Smith-Schuster,WR,FA,18.9,4.8,12.3,0,2.8,0.6,8.5,6.7,15.3,13.7,1.9,9.7,2.8,11.5,0.5,15.6,12.5,8.6,137.1,5.913347754
23,Terry McLaurin,WR,WAS,6.1,18.5,8.6,11.8,2.6,7.4,15,BYE,17.5,10.2,8.4,9.2,1.4,2.4,7.7,0,10,9.1,136.8,5.256186831
24,William Fuller V,WR,FA,11.2,0,11.4,16.8,11.8,18.3,9.5,0,16,3.8,8,29.1,0,0,0,0,0,12.4,135.9,8.390714096
25,Curtis Samuel,WR,BUF,4.3,3.9,5.2,4.8,6.4,0,11.3,17.4,17.8,1.2,13.4,7.7,0,9,4.8,15.8,12.1,9,135.1,5.629556209
26,Diontae Johnson,WR,CAR,3.7,15.2,0.9,0,0.2,0,20,0.6,8.1,17.6,11.1,4.6,13.1,4,11.9,13.6,9.6,8.9,133.8,6.474517524
27,Robbie Chosen,WR,SF,19.4,8.9,5.5,9.9,11.5,7.7,7.4,4.8,6.3,2.1,4.6,15.4,0,9.7,2,9.9,4,8.1,129.1,4.773021067
28,Tee Higgins,WR,CIN,0,3.5,16,9,6.2,12.7,13.8,8.4,BYE,15.5,2.6,10.4,5.6,4.9,3.1,15.9,0,8,127.6,5.392877247
29,Corey Davis,WR,FA,10.1,9.6,6.9,0,0,0,9.5,18.8,0,6.7,11.3,7,24.2,1.4,17,0,3.9,9,126.4,7.10856494
30,Chris Godwin,WR,TB,7.9,0,12.4,0,0,4.8,14.8,0,4.1,9.2,11.3,9.7,BYE,2.5,9.6,14.4,25.3,10.5,126,6.778135806
31,Cole Beasley,WR,FA,5.8,7,10,9.2,5.3,10.5,11.2,2.4,3.9,16.9,0,7.3,19,4.1,11.2,1.7,0,8.4,125.5,5.261316688
32,Hollywood Brown,WR,KC,10.1,4.2,1.3,8.6,13.8,5.7,0,6.3,3.8,1.4,0,14.5,9.9,11,9.8,8.5,16.1,7.8,125,4.922710593
33,Brandon Aiyuk,WR,SF,0,2.1,16.1,11.6,4.4,7.2,11.5,15.1,0,12.7,BYE,0,15.5,11.9,13.3,3.1,0,10.4,124.5,6.075176824
34,Cooper Kupp,WR,LAR,4,8,16.7,12.7,6.6,1.1,5.9,11,BYE,5,14.5,4.1,7.3,9.3,3.9,6.6,0,7.8,116.7,4.473459057
35,Jarvis Landry,WR,FA,6.1,4.6,3.6,10.3,8.8,4,6,5.2,0,2.9,2.6,20.3,12.4,5.7,12.1,0,11.4,7.7,116,5.042470148
36,Michael Gallup,WR,FA,5,5.8,19.8,2.9,7.3,2.3,0,6.1,3.6,0,2.9,4.1,14.6,2.3,8.6,24.1,4.9,7.1,114.3,6.516001066
37,Tyler Boyd,WR,TEN,3.3,13.2,12.5,9.4,4.2,7.9,16.7,13.6,0,4.1,8.5,1.5,13.2,4.3,0,0,1.2,7.6,113.6,5.423286967
38,Jamison Crowder,WR,WAS,17.5,0,0,10.4,17.6,4.8,0,BYE,8.6,0,1.6,3.1,16.7,0.7,6.6,22.3,3.1,9.4,113,7.353219958
39,Tim Patrick,WR,DEN,2.9,2.4,10.3,17.3,BYE,10.1,4.4,0,8.9,6.1,11.9,0,16.4,9.6,1.4,3.9,4.6,7.3,110.2,5.240452628
40,Russell Gage,WR,BAL,11.4,10.6,2.6,2,1.6,6.5,5.4,2.5,1.1,0,5.8,3.4,11.1,13.8,12.8,2.3,16.2,6.8,109.1,4.998615725
41,T.Y. Hilton,WR,FA,5.3,2.8,5.2,2.9,6.9,1.1,0,0.9,0,4,3.6,14.1,17,20.6,7.1,6,10.7,7.2,108.2,5.812657707
