#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL,STD_DEV
1,CeeDee Lamb,WR,DAL,7.7,14.3,6.2,10.8,4.9,11.7,BYE,29,17.1,28.5,10.5,13.3,20.6,13.1,11.6,19.2,27.2,22.5,15.8,268.2,7.382692751
2,Tyreek Hill,WR,MIA,33.5,10,21.7,7.2,24.1,22.3,14.8,17.2,4.5,BYE,20.6,16.4,27.3,6.1,0,9.9,7.6,14.2,16.1,257.4,8.724883874
3,Amon-Ra St. Brown,WR,DET,13.1,8.2,10.6,11.6,0,18.4,10.2,10.8,BYE,22.5,13.7,9.5,10.9,2.1,17.2,16.6,16.1,20.4,13.2,211.9,5.728765515
4,Mike Evans,WR,TB,12.6,23.1,12,4,BYE,4.9,14.2,9.9,8.7,20.3,10.3,19,22.2,0.8,11.7,20.6,7,2.2,12,203.5,6.874741895
5,Puka Nacua,WR,LAR,11.9,15.1,7.2,22.3,13.1,2.6,15.4,4.3,3.2,BYE,13.7,2.7,19.9,9,5.3,24,13.7,10.1,11.4,193.5,6.536345021
6,DJ Moore,WR,CHI,2.5,10.4,10.1,19.1,41,5.1,5.4,5.5,2.4,5.9,15.6,11.4,BYE,20.8,5.2,1.8,21.9,6.4,11.2,190.5,9.732629811
7,Deebo Samuel Sr.,WR,SF,6.3,16.1,19.1,0.6,8.5,1.1,0,0,BYE,11.9,6.2,15.4,31.8,27,17.9,5.4,13.2,3.2,12.2,183.7,9.216319962
8,A.J. Brown,WR,PHI,7.9,2.9,13.1,29.5,12.7,13.1,19.7,25,12.6,BYE,0.8,9.7,11.4,7.4,5.6,8,5.3,1.1,10.8,183.6,7.634501001
9,Nico Collins,WR,HOU,8,20.6,3.4,28.8,3.9,8,BYE,3,11.4,0,6.5,16.4,25.1,1.3,0,9.8,8.7,25.5,12,180.4,9.068554743
10,Brandon Aiyuk,WR,SF,24.9,4.3,0,14.8,5.8,7.6,5.7,10.9,BYE,11.5,21.6,11,10.6,10.6,3.7,11.3,17.4,2.5,10.9,174.2,6.463118683
11,Keenan Allen,WR,CHI,8.2,23.1,27.5,9.2,0,14.5,5.5,6.9,7.7,29.5,17.6,8.6,5.8,6.8,0,0,0,0,13.1,170.9,9.129894257
12,Stefon Diggs,WR,HOU,16.2,6.6,11.1,30,16.1,10,11.8,7,16.6,3.4,2.7,13.4,0,2.4,4.8,2.9,3.1,8.7,9.8,166.8,7.178130366
13,Ja'Marr Chase,WR,CIN,4.1,3.1,14.1,7.3,37.2,8,BYE,15.2,4.1,18.4,7.2,8.1,20.6,2.9,6.4,0,4.1,1.9,10.2,162.7,8.968032423
14,Davante Adams,WR,LV,6.6,14.4,29.2,7.5,4.5,2.9,5.7,1.1,3.4,8.6,14.2,7.3,BYE,5.3,16.1,0.4,24.6,10.6,9.6,162.4,7.731533418
15,DK Metcalf,WR,SEA,10.7,7.5,11.2,9.4,BYE,6.9,0,6.7,5,9.8,15.4,3.2,31.4,11.2,7.8,11.6,10.6,1,10,159.4,6.734592822
16,Amari Cooper,WR,CLE,3.7,9,17.6,1.6,BYE,10.8,2.2,8.9,19.9,9.8,3.4,1.6,3.4,5.7,16.9,40.5,0,0,10.3,155,9.91298823
17,Calvin Ridley,WR,TEN,16.1,3.2,4,9.8,13.6,2.6,0.5,8.3,0,2,24.1,16.9,3.3,5.3,3.9,19.8,3.9,16.6,9.1,153.9,7.20310504
18,Jayden Reed,WR,GB,4.6,15.7,6.3,7.5,0.7,BYE,8.1,8.3,4,14.4,15.2,11,1.6,12.5,11.2,0,20.9,11.2,9.6,153.2,5.63538008
19,Jordan Addison,WR,MIN,12.1,13.2,5.2,0,12.4,8.8,24.3,14.4,5.2,6.9,4.4,3.9,BYE,2.7,23.1,0.2,2.8,11.7,8.9,151.3,6.966558776
20,DeAndre Hopkins,WR,TEN,6.5,4,4.8,6.3,14,2,BYE,30.8,6.5,2.7,11.9,4.9,13.9,18.4,2.1,2,7.2,10.6,8.7,148.6,7.23643224
21,Jakobi Meyers,WR,LV,20.1,0,8.5,3.3,13.5,12.1,11,1.9,11.5,2.1,4.9,14.1,BYE,2.5,13.7,4.2,5.6,18.6,9.2,147.6,5.976841119
22,DeVonta Smith,WR,PHI,10.7,19.1,2.8,7.8,0.6,4.4,4.9,15.9,11.1,BYE,9.9,16.6,15.6,5.3,5,13.9,3,0,9.2,146.6,5.81959463
23,George Pickens,WR,PIT,3.6,18.7,7.5,2.5,20.6,BYE,10.7,8.2,0.1,4.5,3.7,5.8,8.6,1.9,4.7,31.5,13.1,0.3,8.6,145.8,8.075225901
24,Chris Olave,WR,NO,11.2,8.6,10.4,0.4,7.2,9.6,5.7,4.6,10.6,15.4,BYE,11.4,11.9,8.8,0,14.3,2.6,11.6,9,144.3,4.371415487
25,Michael Pittman Jr.,WR,IND,15.7,5.6,7.7,3.5,5.2,10.9,14.3,10,6.4,8.4,BYE,10.7,16.5,11.5,7.8,0,4.6,2.4,8.8,141.2,4.506266302
