Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Jerreth Sterns*,Western Kentucky,CUSA,14,150,1902,12.7,17,5,17,3.4,0,155,1919,12.4,17,jerreth-sterns-1
2,Deven Thompkins*,Utah State,MWC,14,102,1704,16.7,10,5,27,5.4,0,107,1731,16.2,10,deven-thompkins-1
3,Jaxon Smith-Njigba*,Ohio State,Big Ten,13,95,1606,16.9,9,0,0,,0,95,1606,16.9,9,jaxon-smith-njigba-1
4,Jordan Addison*,Pitt,ACC,14,100,1593,15.9,17,7,56,8.0,1,107,1649,15.4,18,jordan-addison-1
5,Jameson Williams*,Alabama,SEC,15,79,1572,19.9,15,3,23,7.7,0,82,1595,19.5,15,jameson-williams-1
6,Jalen Tolbert,South Alabama,Sun Belt,12,82,1474,18.0,8,0,0,,0,82,1474,18.0,8,jalen-tolbert-1
7,Jack Sorenson*,Miami (OH),MAC,13,76,1406,18.5,10,0,0,,0,76,1406,18.5,10,jack-sorenson-1
8,Mitchell Tinsley*,Western Kentucky,CUSA,14,87,1402,16.1,14,0,0,,0,87,1402,16.1,14,mitchell-tinsley-1
9,Jacob Cowing*,UTEP,CUSA,13,69,1354,19.6,7,4,75,18.8,1,73,1429,19.6,8,jacob-cowing-1
10,Josh Downs*,North Carolina,ACC,13,101,1335,13.2,8,0,0,,0,101,1335,13.2,8,josh-downs-2
11,Wan'Dale Robinson*,Kentucky,SEC,13,104,1334,12.8,7,7,111,15.9,0,111,1445,13.0,7,wandale-robinson-1
12,Nathaniel Dell*,Houston,American,14,90,1329,14.8,12,1,5,5.0,0,91,1334,14.7,12,nathaniel-dell-1
13,A.T. Perry*,Wake Forest,ACC,14,71,1293,18.2,15,0,0,,0,71,1293,18.2,15,at-perry-1
14,Skyy Moore*,Western Michigan,MAC,12,95,1292,13.6,9,1,10,10.0,0,96,1302,13.6,9,skyy-moore-1
15,David Bell*,Purdue,Big Ten,11,93,1286,13.8,6,3,39,13.0,0,96,1325,13.8,6,david-bell-6
16,Dante Cephas*,Kent State,MAC,14,82,1240,15.1,9,0,0,,0,82,1240,15.1,9,dante-cephas-1
17,Dontayvion Wicks,Virginia,ACC,12,57,1203,21.1,9,0,0,,0,57,1203,21.1,9,dontayvion-wicks-1
18,Jahan Dotson*,Penn State,Big Ten,12,91,1182,13.0,12,6,18,3.0,1,97,1200,12.4,13,jahan-dotson-1
19,Charleston Rambo,Miami (FL),ACC,12,79,1172,14.8,7,0,0,,0,79,1172,14.8,7,charleston-rambo-1
20,Calvin Austin III,Memphis,American,12,74,1149,15.5,8,1,69,69.0,1,75,1218,16.2,9,calvin-austin-iii-1
21,John Metchie*,Alabama,SEC,13,96,1142,11.9,8,1,8,8.0,0,97,1150,11.9,8,john-metchie-1
22,Jaivon Heiligh*,Coastal Carolina,Sun Belt,13,66,1128,17.1,7,0,0,,0,66,1128,17.1,7,jaivon-heiligh-1
23,Trey McBride,Colorado State,MWC,12,90,1121,12.5,1,1,69,69.0,1,91,1190,13.1,2,trey-mcbride-1
24,Khalil Shakir,Boise State,MWC,12,77,1117,14.5,7,21,130,6.2,0,98,1247,12.7,7,khalil-shakir-1
25,Josh Johnson*,Tulsa,American,13,83,1114,13.4,6,3,-2,-0.7,0,86,1112,12.9,6,josh-johnson-9
26,Romeo Doubs*,Nevada,MWC,11,80,1109,13.9,11,1,4,4.0,0,81,1113,13.7,11,romeo-doubs-1
27,Treylon Burks*,Arkansas,SEC,12,66,1104,16.7,11,14,112,8.0,1,80,1216,15.2,12,treylon-burks-1
28,Drake London,USC,Pac-12,8,88,1084,12.3,7,1,2,2.0,0,89,1086,12.2,7,drake-london-1
