Player,preds,model_rank,Fpros_rk,comb_rank
CeeDee Lamb,315.4572902352844,1,1,1
Tyreek Hill,307.6782848026378,2,2,2
Amon-Ra St. Brown,315.3740472,3,4,3.5
Puka Nacua,300.74135671356424,6,8,7
A.J. Brown,242.75970145405716,8,6,7
Mike Evans,265.19874848289527,4,15,9.5
Ja'Marr Chase,195.02302924698535,18,3,10.5
Nico Collins,175.08015105034264,11,18,14.5
Brandon Aiyuk,263.9052915240118,12,17,14.5
Davante Adams,222.93916747619173,19,10,14.5
Stefon Diggs,227.17173111708934,16,25,20.5
Justin Jefferson,165.6349786194846,38,5,21.5
Chris Olave,230.93674719063566,34,12,23
Amari Cooper,149.25361649644503,23,24,23.5
Keenan Allen,220.20353245032834,14,34,24
Michael Pittman Jr.,180.39987392751868,35,14,24.5
DeVonta Smith,235.22350202834673,31,20,25.5
Garrett Wilson,188.8799629712208,49,7,28
Jaylen Waddle,178.06145064753377,44,13,28.5
Calvin Ridley,232.76158853374696,24,36,30
Jayden Reed,215.51056293303512,25,37,31
George Pickens,167.99738266486486,32,30,31
Drake London,160.41436378719843,54,11,32.5
DeAndre Hopkins,187.78367310500096,29,39,34
Zay Flowers,232.81057585661028,42,26,34
Cooper Kupp,175.6461067914552,53,16,34.5
Terry McLaurin,139.70205795409845,41,29,35
Rashee Rice,267.23010053355034,39,32,35.5
Jordan Addison,180.85461751153275,27,45,36
Chris Godwin,214.5056545007148,45,33,39
Tank Dell,180.58845456065993,48,31,39.5
Jakobi Meyers,133.7342969269047,30,49,39.5
Courtland Sutton,169.23099036905492,40,42,41
Tee Higgins,109.21428003510579,57,27,42
Christian Kirk,169.5853953677795,59,28,43.5
Diontae Johnson,100.20937153928864,55,35,45
Tyler Lockett,162.41809614383263,46,48,47
Jaxon Smith-Njigba,110.14277038820734,63,38,50.5
Brandin Cooks,99.39763695756777,47,56,51.5
Adam Thielen,203.18890001934014,43,62,52.5
Romeo Doubs,144.38050695508244,51,54,52.5
Rashid Shaheed,96.14264156655788,52,55,53.5
Curtis Samuel,119.9622588237088,58,53,55.5
Josh Downs,130.37882588708322,60,59,59.5
Jerry Jeudy,134.0355450827756,62,60,61
